.pl 16959
CisloSkup;NazevSkup;CisloKarty;NazevZbozi;NakupCena;ProdCena;SpecCena;NazevZboziK;NakupCenaK;ProdCenaK;DatumPoriz;MinRabatC
--DATA--
0021$;Vìzeòská Liberec$;0107$;Mazlavé mıdlo 9kg svìtlé$;108.00$;181.01$;181.01$;Mazlavé mıdlo 9kg svìtlé$;111$;184.28$;736865$;14.00
0023$;Integrovaná Benešov$;0107$;Mazlavé mıdlo 9kg svìtlé$;110.81$;184.28$;192.33$;Mazlavé mıdlo 9kg svìtlé$;111$;184.28$;737474$;20.00
0009$;SOU Lesnické Frıdlan$;0111$;\O\Topmatic universal 25kg$;2397.00$;3370.18$;3538.69$;\O\Topmatic universal special 25kg$;2603$;3534.20$;737460$;20.00
0016$;Krajská nemocn.Liber$;0114$;Univerzal HIT 500g jablko$;11.90$;16.78$;18.30$;Univerzal HIT 500g jablko$;13$;16.78$;733086$;16.00
0029$;TU Liberec$;0114$;Univerzal HIT 500g jablko$;12.90$;17.11$;18.87$;Univerzal HIT 500g jablko$;13$;16.78$;736706$;15.00
0004$;SÈVAK$;0114$;Univerzal HIT 500g jablko$;11.90$;16.78$;16.90$;Univerzal HIT 500g jablko$;13$;16.78$;737119$;20.00
0064$;Sport Jablonec$;0121$;Papírové ruèníky role 2vr Tork 120076 6k$;656.58$;884.41$;764.00$;Papírové ruèníky role 2vr Tork 120076 6k$;660$;885.06$;737455$;15.00
0049$;Voj.Láz.Teplice$;0121$;Papírové ruèníky role 2vr Tork 120076 6k$;660.00$;884.40$;792.00$;Papírové ruèníky role 2vr Tork 120076 6k$;660$;885.06$;737532$;12.00
0015$;Knorr$;0130$;\KN\Molitan 200x200x20mm$;5.20$;6.50$;11.51$;\KN\Molitan 200x200x20mm$;5$;6.66$;735331$;20.00
0037$;Pardubice mìsto$;0146$;Pytle 120L/40mi 70x110cm role-25ks zelen$;48.25$;60.99$;58.87$;Pytle 120L/40mi 70x110cm role-25ks zelen$;48$;60.99$;737697$;15.00
