.pl 16959
CisloPrijemky;DatumVydeje;CisloDodavatele;NazevDodavatele;CisloKarty;NazevZbozi;MernaJednotka;NakupCena;SazbaD;VPal;VKart;Prijato
--DATA--
00001$;737794$;00099$;* Inventurni rozdily$;5566$;Roho gumová dìrovaná 100x50cm Honey/Med$;ks$;109.00$;21$;0$;0$;-1
00001$;737794$;00099$;* Inventurni rozdily$;5713$;Roho textilní 90x60cm Tiger šedá$;ks$;239.00$;21$;0$;0$;-1
00001$;737794$;00099$;* Inventurni rozdily$;2189$;Hùl DR 140cm prùmìr 24mm$;ks$;28.71$;21$;0$;0$;-1
00001$;737794$;00099$;* Inventurni rozdily$;5497$;Larrin na spotøebièe-rez a vod.kámen 500$;ks$;34.76$;21$;0$;12$;-196
00001$;737794$;00099$;* Inventurni rozdily$;0880$;Larrin rez a vodní kámen 500ml$;ks$;33.86$;21$;864$;12$;196
00001$;737794$;00099$;* Inventurni rozdily$;0845$;Osvìovaè Gel Glade Konvalinka 150g$;ks$;29.09$;21$;0$;0$;-62
00001$;737794$;00099$;* Inventurni rozdily$;3155$;Osvìovaè Gel Glade Levandule fial.150g$;ks$;29.09$;21$;0$;8$;62
00001$;737794$;00099$;* Inventurni rozdily$;5657$;Tekuté mıdlo 500ml Vione zelené$;ks$;10.50$;21$;0$;10$;-40
00001$;737794$;00099$;* Inventurni rozdily$;5673$;Tekuté mıdlo 500ml Vione rùové$;ks$;10.50$;21$;0$;10$;-20
00001$;737794$;00099$;* Inventurni rozdily$;0404$;WC pisoar DEO doza citron 750g$;ks$;121.40$;21$;0$;6$;-12
00001$;737794$;00099$;* Inventurni rozdily$;0483$;Stìrka na okna 35cm   è.4425$;ks$;30.46$;21$;0$;12$;-23
00001$;737794$;00099$;* Inventurni rozdily$;1308$;Stìrka na okna 25cm   è.4425$;ks$;26.15$;21$;0$;12$;23
00001$;737794$;00099$;* Inventurni rozdily$;2722$;Osvìovaè spray Brait 300m suchı Alaska$;ks$;21.73$;21$;0$;12$;-1
00001$;737794$;00099$;* Inventurni rozdily$;1490$;Hrablo na sníh PE 50cm + døevìná hùl$;ks$;97.30$;21$;0$;10$;20
00001$;737794$;00099$;* Inventurni rozdily$;5335$;Hrablo na sníh PE 50cm bez hole$;ks$;56.90$;21$;0$;0$;-22
00001$;737794$;00099$;* Inventurni rozdily$;5999$;Ostøikovaè zimní Glacidet 5L (-40)$;kan$;120.95$;21$;0$;3$;9
00001$;737794$;00099$;* Inventurni rozdily$;0712$;Ostøikovaè zimní Carline 5L (-40)$;kan$;94.84$;21$;0$;3$;-9
00001$;737794$;00099$;* Inventurni rozdily$;1708$;Šampon Primo 1l Kopøiva Clear$;ks$;15.00$;21$;0$;10$;-1
00001$;737794$;00099$;* Inventurni rozdily$;4045$;\o\Pytle 70L/50mi 550x1000cm lutı 25ks$;rol$;46.25$;21$;0$;10$;-7
00001$;737794$;00099$;* Inventurni rozdily$;4313$;Šampon Palmolive 350ml lupy Men$;ks$;31.31$;21$;0$;6$;-21
00001$;737794$;00099$;* Inventurni rozdily$;0793$;Sùl posypová 10kg$;taš$;34.50$;21$;90$;0$;-2
00001$;737794$;00099$;* Inventurni rozdily$;0793$;Sùl posypová 10kg$;taš$;34.50$;21$;90$;0$;1
00002$;737794$;00156$;* Reklamace 2021 zákazník$;4030$;Ceresit Stop vlhkosti náplò 2x450g$;ks$;135.03$;21$;0$;12$;-7
00002$;737794$;00156$;* Reklamace 2021 zákazník$;2954$;\O\Toaletní papír Gigant 2vrs.230 recykl$;rol$;18.50$;21$;0$;6$;-90
00002$;737794$;00156$;* Reklamace 2021 zákazník$;5209$;\O\Toaletní papír Gigant 2vrs.260 recykl$;ks$;24.60$;21$;0$;6$;-12
00002$;737794$;00156$;* Reklamace 2021 zákazník$;4850$;Hul DR 180cm prùmìr 24mm$;ks$;49.71$;21$;0$;25$;-20
00002$;737794$;00156$;* Reklamace 2021 zákazník$;2734$;Cleamen 110 1l sklenìné plochy s MR$;ks$;38.95$;21$;0$;12$;-4
00002$;737794$;00156$;* Reklamace 2021 zákazník$;2865$;\o\Vak odpadní do skart.stroje 3804 50ks$;bal$;2360.00$;21$;0$;0$;-2
00002$;737794$;00156$;* Reklamace 2021 zákazník$;0790$;Orkán profi lesk 25kg do myèek$;kan$;1739.98$;21$;0$;0$;-2
00002$;737794$;00156$;* Reklamace 2021 zákazník$;4932$;Prášek Ariel 45dávek Mountain$;ks$;141.31$;21$;0$;4$;-4
00002$;737794$;00156$;* Reklamace 2021 zákazník$;5775$;Smeták PE závit hrubı Viktoria 30cm$;ks$;17.03$;21$;0$;24$;-7
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;6009$;Papírové ruèníky ZZ 1vr zelené$;kar$;142.00$;21$;32$;0$;-128
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;1653$;Papírové ruèníky ZZ 1vr Cerepa 250 zelen$;ks$;7.10$;21$;640$;20$;2560
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;1954$;Houbièka nádobí s drákou po 10ks 10x7cm$;tyè$;14.44$;21$;0$;50$;-100
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;2600$;Houbièka nádobí s drákou po 1ks 10x7cm$;ks$;1.44$;21$;0$;0$;1000
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;5613$;Úklidovı vozík 2x17 základní$;ks$;1500.00$;21$;0$;0$;-2
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;5739$;Vloka do dímaèe$;ks$;27.92$;21$;0$;0$;2
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;5169$;dímaè k uklidovému vozíku plastovı SPL$;ks$;493.18$;21$;0$;0$;2
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;0701$;Úklidovı vozík 2x17 bez dímaèe$;ks$;978.90$;21$;0$;0$;2
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;5613$;Úklidovı vozík 2x17 základní$;ks$;1500.00$;21$;0$;0$;-2
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;5774$;Košík na vozík Maxi boèní$;ks$;256.40$;21$;0$;0$;-2
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;0159$;Úklidovı vozík 2x17 + košík boèní$;ks$;1756.40$;21$;0$;0$;2
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;5613$;Úklidovı vozík 2x17 základní$;ks$;1500.00$;21$;0$;0$;-1
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;1090$;Podpìra mopu PVC + drák Alu tyèe-modrı$;ks$;265.00$;21$;0$;0$;-1
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;5774$;Košík na vozík Maxi boèní$;ks$;256.40$;21$;0$;0$;-1
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;5721$;Košík na vozík pod vìdro 6l$;ks$;215.00$;21$;0$;0$;-1
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;5722$;Vìdro 6l pro uklidovı vozík  mix barev$;ks$;55.47$;21$;0$;0$;-1
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;3197$;Úklidovı vozík 2x17 + vıbava$;ks$;2291.90$;21$;0$;0$;1
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;1804$;Smeták PE závit hrubı imitace døeva$;ks$;29.90$;21$;0$;12$;-60
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;1221$;Hùl kovová 130cm hrubı závit$;ks$;10.08$;21$;0$;24$;-60
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;0576$;Smeták PE závit hrubı+hùl 130cm imitace$;ks$;39.98$;21$;0$;12$;60
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;3923$;Mop drák FW 60cm s kloubem$;ks$;83.64$;21$;0$;0$;-5
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;4068$;Hùl AL 140cm prùmìr 23,5mm bez zavitu$;ks$;58.00$;21$;0$;0$;-5
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;3885$;Mop drák FW 80cm s kloubem$;ks$;120.00$;21$;0$;0$;-5
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;4068$;Hùl AL 140cm prùmìr 23,5mm bez zavitu$;ks$;58.00$;21$;0$;0$;-5
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;1120$;Mop NN bavlnìnı FW 80cm plochı$;ks$;94.00$;21$;0$;0$;-5
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;0475$;Mop KOMPLET plochı FW 80cm$;ks$;272.00$;21$;0$;0$;5
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;3073$;Mop drák Speedy/Flipper 40cm s magnetem$;ks$;320.00$;21$;0$;10$;-5
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;4068$;Hùl AL 140cm prùmìr 23,5mm bez zavitu$;ks$;58.00$;21$;0$;0$;-5
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;4192$;Mop NN bavlnìnı Speedy 40cm uni 2xjazyk$;ks$;63.00$;21$;0$;50$;-5
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;4253$;Mop KOMPLET plochı Speedy 40cm /2x jazyk$;ks$;441.00$;21$;0$;0$;5
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;5715$;Mop drák Sprint PLUS 40cm s magnetem$;ks$;355.00$;21$;0$;10$;-5
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;4068$;Hùl AL 140cm prùmìr 23,5mm bez zavitu$;ks$;58.00$;21$;0$;0$;-5
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;5718$;Mop NN bavlnìnı Sprint PLUS 40cm 2xkapsa$;ks$;68.00$;21$;0$;50$;-5
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;1992$;Mop KOMPLET plochı Sprint PL.40 /2xkapsa$;ks$;481.00$;21$;0$;0$;5
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;5298$;\o\Mop drák Unger 3druky$;ks$;755.00$;21$;0$;0$;-2
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;4068$;Hùl AL 140cm prùmìr 23,5mm bez zavitu$;ks$;58.00$;21$;0$;0$;-2
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;1128$;Mop NN bavlnìnı Speedy 40cm 3druky uni$;ks$;71.00$;21$;0$;50$;-2
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;1110$;Mop KOMPLET plochı Unger 40cm 3díry/2jaz$;ks$;884.00$;21$;0$;0$;2
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;1095$;Mop NN bavlnìnı FW 60cm plochı$;ks$;72.00$;21$;0$;0$;-5
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;0376$;Mop KOMPLET plochı FW 60cm$;ks$;213.64$;21$;0$;0$;5
