.pl 16959
CisloKarty;NazevZboziInv;PocetInv
--DATA--
0100$;\O\dohledání vıbìrovky$;0
0101$;Stìrka malá špachtle PE 10cm náhradní$;4
0102$;Náplast støíhaná 5ks  1682-5$;48
0104$;\O\siøièitan sodnı bezvodnı 25kg$;0
0105$;||190528$;0
0106$;\o\Brial XL Fresh 1l$;0
0107$;Mazlavé mıdlo 9kg svìtlé$;27
0109$;\AU\Vonnı olej 0.5l$;0
0110$;||190528$;0
0111$;\O\Topmatic universal special 25kg$;0
0112$;||190111$;0
0113$;\o\prací gel Persil 40 dávek color$;0
0114$;Univerzal HIT 500g jablko$;248
0116$;\o\Hadr na podlahu Artatex 50x70cm bílı$;0
0117$;||200729$;0
0118$;\D\Cirine bílá 13kg$;0
0119$;\o\ECO Real Green Clean multifunk.5kg$;0
0120$;||190104$;0
0121$;Papírové ruèníky role 2vr Tork 120076 6k$;33
0122$;Umyvadlo PVC kulaté klasic 31cm/ 6,2l$;12
0123$;||190102$;0
0127$;\AU\vonnı olej Lorol 0.5l$;0
0129$;||191219$;0
0130$;\KN\Molitan 200x200x20mm$;5
0132$;Rukavice sváøecí MERLIN è.11$;48
0133$;\o\Víko ke koši Rubbermaid zelené$;0
0134$;||201126$;0
0135$;\O\Uvolòovaè šroubù COYOTE 150ml$;0
0138$;|Paleta EUR - KUKU$;0
0139$;\D\Tagal impregnace 300ml$;0
0141$;\o\Pap.ruè.C 1vrs.100ks bílé$;0
0143$;\P\Lak.tu.HFB380092 platin$;0
0144$;Stojan s bezdotyk. dávkovaèem desinf.1l$;0
0145$;||190531$;0
0146$;Pytle 120L/40mi 70x110cm role-25ks zelen$;99
0147$;Škrob tekutı 3E 5kg kanystr$;11
0148$;Dávkovaè mıdla 475ml Tork bílı 561000$;0
0149$;Stìrka podlaha kovová 45cm s gumou$;17
0150$;Sùl posypová 50kg$;102
0151$;Øedidlo nitro 9l 6000 kanystr$;11
0152$;Øedidlo syntetik 9l 6006 kanystr$;1
0154$;||190111$;0
0155$;Kontaktol spray 300ml na elektr.kontakty$;17
0156$;||190102$;0
0157$;Krém na ruce Solvina 100ml Mìsíèek$;347
0158$;Nádobí Jar 900ml Pome granate$;754
0159$;Úklidovı vozík 2x17 + košík boèní$;0
0160$;||190320$;0
0161$;Krém na ruce Isolda 100ml Aloe Vera/rege$;395
0162$;\P\Lak.tu.HFA380038 Candy  F9E$;0
0163$;\O\Skinman Soft Protect 100ml    3070960$;0
0164$;Rukavice celokoené Heron/Astar è.10$;42
0166$;||190102$;0
0168$;\AU\Domestos 750ml$;0
0169$;\D\Velosourpava Start nová$;0
0170$;Stìrka okno + rozmıvák DUO 35cm$;4
0171$;Somat do myèky sùl 1.5kg$;141
0172$;\O\Víko k vozík.120l mix bar. 52,5x31,5$;0
0173$;Zubní pasta Odol Stoma 75ml$;19
0174$;\O\Sekusept Aktiv 1.5l novı$;0
0175$;Papírové ruèníky ZZ 2vr Tork 100278 Bílá$;6
0176$;\o\Sáèky do koše 60l 20ks Fino Color$;0
0177$;WC èistiè Domestos 5l$;30
0178$;Finish prášek 2,5kg$;39
0179$;||191025$;0
0180$;Motouz POP  250g  1200 m/kg$;126
0181$;\O\Rukavice jedno.Touch N Touff è.XL 100$;0
0201$;\O\Koupelna Fixinela perfekt s MR 500ml$;0
0202$;||201110$;0
0203$;Milit myèka sùl 1,5kg$;79
0204$;\kn\Stylmark-Pramark 3mm zelená$;26
0205$;Zásobník ruèníky ZZ bílı ZVG s okınkem$;8
0206$;\O\Barva Primalex Mykostop 5,6kg$;0
0207$;\AU\Rukavice latex 100ks$;0
0208$;\D\Dispercoll D2 500g$;0
0209$;||190102$;0
0210$;\o\Renomag razant 5kg$;0
0211$;\o\Roho textilní Arcos 200x90cm olemova$;0
0212$;|Paleta EUR - Solira$;0
0213$;\o\Voda jemnì perlivá 0.5l Saquaro$;0
0214$;||201111$;0
0215$;||190102$;0
